TimestampMs,State,TargetX,TargetY,TargetZ,SetpointA,SetpointB,SetpointC,CountA,CountB,CountC,ErrA,ErrB,ErrC,Status
--- NEW TEST SESSION STARTED ---
--- NEW TEST SESSION STARTED ---
54466,3,0.00,20.00,0.00,-228,141,141,-227,137,163,-1,4,-22,RUNNING
54488,3,0.00,20.00,0.00,-228,141,141,-227,137,163,-1,4,-22,RUNNING
54510,3,0.00,20.00,0.00,-228,141,141,-228,132,163,0,9,-22,RUNNING
54534,3,0.00,20.00,0.00,-228,141,141,-227,123,163,-1,18,-22,RUNNING
54556,3,0.00,20.00,0.00,-228,141,141,-228,119,162,0,22,-21,RUNNING
54578,3,0.00,20.00,0.00,-228,141,141,-227,119,162,-1,22,-21,RUNNING
54600,3,0.00,20.00,0.00,-228,141,141,-229,119,157,1,22,-16,RUNNING
54622,3,0.00,20.00,0.00,-228,141,141,-227,119,143,-1,22,-2,RUNNING
54644,3,0.00,20.00,0.00,-228,141,141,-228,119,136,0,22,5,RUNNING
54666,3,0.00,20.00,0.00,-228,141,141,-228,119,136,0,22,5,RUNNING
54688,3,0.00,20.00,0.00,-228,141,141,-227,119,136,-1,22,5,RUNNING
54712,3,0.00,20.00,0.00,-228,141,141,-229,119,136,1,22,5,RUNNING
54734,3,0.00,20.00,0.00,-228,141,141,-227,119,136,-1,22,5,RUNNING
54756,3,0.00,20.00,0.00,-228,141,141,-229,123,136,1,18,5,RUNNING
54778,3,0.00,20.00,0.00,-228,141,141,-227,134,137,-1,7,4,RUNNING
54796,3,0.00,20.00,0.00,-228,141,141,-227,134,137,-1,7,4,TARGET_REACHED_OUTBOUND
54817,15,0.00,20.00,0.00,-228,141,141,-227,157,141,-1,-16,0,RUNNING
54839,15,0.00,20.00,0.00,-228,141,141,-228,170,149,0,-29,-8,RUNNING
54861,15,0.00,20.00,0.00,-228,141,141,-228,180,157,0,-39,-16,RUNNING
54885,15,0.00,20.00,0.00,-228,141,141,-227,191,166,-1,-50,-25,RUNNING
54907,15,0.00,20.00,0.00,-228,141,141,-229,199,173,1,-58,-32,RUNNING
54929,15,0.00,20.00,0.00,-228,141,141,-227,207,179,-1,-66,-38,RUNNING
54951,15,0.00,20.00,0.00,-228,141,141,-230,214,184,2,-73,-43,RUNNING
54973,15,0.00,20.00,0.00,-228,141,141,-227,219,190,-1,-78,-49,RUNNING
54995,15,0.00,20.00,0.00,-228,141,141,-229,223,195,1,-82,-54,RUNNING
55017,15,0.00,20.00,0.00,-228,141,141,-228,225,198,0,-84,-57,RUNNING
55041,15,0.00,20.00,0.00,-228,141,141,-227,226,202,-1,-85,-61,RUNNING
55063,15,0.00,20.00,0.00,-228,141,141,-229,226,204,1,-85,-63,RUNNING
55085,15,0.00,20.00,0.00,-228,141,141,-227,226,206,-1,-85,-65,RUNNING
55107,15,0.00,20.00,0.00,-228,141,141,-229,226,206,1,-85,-65,RUNNING
55129,15,0.00,20.00,0.00,-228,141,141,-227,226,206,-1,-85,-65,RUNNING
55151,15,0.00,20.00,0.00,-228,141,141,-228,226,206,0,-85,-65,RUNNING
55173,15,0.00,20.00,0.00,-228,141,141,-228,226,206,0,-85,-65,RUNNING
55197,15,0.00,20.00,0.00,-228,141,141,-227,226,206,-1,-85,-65,RUNNING
55219,15,0.00,20.00,0.00,-228,141,141,-229,226,206,1,-85,-65,RUNNING
55241,15,0.00,20.00,0.00,-228,141,141,-227,226,206,-1,-85,-65,RUNNING
55263,15,0.00,20.00,0.00,-228,141,141,-229,226,206,1,-85,-65,RUNNING
55285,15,0.00,20.00,0.00,-228,141,141,-227,226,206,-1,-85,-65,RUNNING
55307,15,0.00,20.00,0.00,-228,141,141,-228,226,206,0,-85,-65,RUNNING
55329,15,0.00,20.00,0.00,-228,141,141,-228,226,206,0,-85,-65,RUNNING
55351,15,0.00,20.00,0.00,-228,141,141,-228,226,206,0,-85,-65,RUNNING
55375,15,0.00,20.00,0.00,-228,141,141,-229,226,206,1,-85,-65,RUNNING
55397,15,0.00,20.00,0.00,-228,141,141,-227,226,206,-1,-85,-65,RUNNING
55419,15,0.00,20.00,0.00,-228,141,141,-229,226,206,1,-85,-65,RUNNING
55441,15,0.00,20.00,0.00,-228,141,141,-228,226,206,0,-85,-65,RUNNING
